Title,Stad,Soltimmar,Typ,Adress,Hemsida,Område,Värmare
"Ölstugan Tullen Kålltorp,Göteborg,15:00 - 18:30,""[""""Bar""""]"",""{""""city"""":""""Kålltorp"""",""""location"""":{""""latitude"""":57.71705749999999,""""longitude"""":12.0277995},""""streetAddress"""":{""""number"""":""""39"""",""""name"""":""""Björcksgatan"""",""""apt"""":""""""""},""""formatted"""":""""Björcksgatan 39, 416 52 Göteborg, Sverige"""",""""country"""":""""SE"""",""""postalCode"""":""""416 52""""}"",https://www.olstugan.se/kalltorp,Östra Centrum,Nej"
"The Old Beefeater Inn,Göteborg,11:00 - 17:00,""[""""Bar""""]"",""{""""city"""":""""Olivedal"""",""""location"""":{""""latitude"""":57.6973912,""""longitude"""":11.9506935},""""streetAddress"""":{""""number"""":""""1"""",""""name"""":""""Plantagegatan"""",""""apt"""":""""""""},""""formatted"""":""""Plantagegatan 1, 413 05 Göteborg, Sverige"""",""""country"""":""""SE"""",""""postalCode"""":""""413 05""""}"",https://www.beefeaterinn.se/,Linné,Ja"
"Restaurang Jesper,Göteborg,12:00 - 19:00,""[""""Restaurang""""]"",""{""""city"""":""""Inom Vallgraven"""",""""location"""":{""""latitude"""":57.70370740000001,""""longitude"""":11.9687689},""""streetAddress"""":{""""number"""":""""13"""",""""name"""":""""Kungstorget"""",""""apt"""":""""""""},""""formatted"""":""""Kungstorget 13, 411 10 Göteborg, Sverige"""",""""country"""":""""SE"""",""""postalCode"""":""""411 10""""}"",https://restaurangjesper.se/,Inom Vallgraven,Ja"
"La Piccola Gondola,Göteborg,11:30 - 17:30,""[""""Restaurang""""]"",""{""""city"""":""""Inom Vallgraven"""",""""location"""":{""""latitude"""":57.7035699,""""longitude"""":11.9684089},""""streetAddress"""":{""""number"""":""""15"""",""""name"""":""""Kungstorget"""",""""apt"""":""""""""},""""formatted"""":""""Kungstorget 15, 411 10 Göteborg, Sverige"""",""""country"""":""""SE"""",""""postalCode"""":""""411 10""""}"",http://gondola.se/,Inom Vallgraven,Ja"
"Allora,Göteborg,12:00 - 19:00,""[""""Bar""""]"",""{""""city"""":""""Inom Vallgraven"""",""""location"""":{""""latitude"""":57.70269099999999,""""longitude"""":11.9619678},""""streetAddress"""":{""""number"""":""""7"""",""""name"""":""""Kaserntorget"""",""""apt"""":""""""""},""""formatted"""":""""Kaserntorget 7, 411 18 Göteborg, Sverige"""",""""country"""":""""SE"""",""""postalCode"""":""""411 18""""}"",https://www.instagram.com/alloragbg/,Inom Vallgraven,Ja"
"Ngon,Göteborg,11:00 - 15:00,""[""""Restaurang""""]"",""{""""city"""":""""Stampen"""",""""location"""":{""""latitude"""":57.7106897,""""longitude"""":11.9864261},""""streetAddress"""":{""""number"""":""""4"""",""""name"""":""""Friggagatan"""",""""apt"""":""""""""},""""formatted"""":""""Friggagatan 4, 411 01 Göteborg, Sverige"""",""""country"""":""""SE"""",""""postalCode"""":""""411 01""""}"",https://ngongbg.se/,Östra Centrum,Nej"
"Armans Coffee,Göteborg,09:00 - 20:00,""[""""Café""""]"",""{""""city"""":""""Olivedal"""",""""location"""":{""""latitude"""":57.69720829999999,""""longitude"""":11.9479289},""""streetAddress"""":{""""number"""":""""17"""",""""name"""":""""Plantagegatan"""",""""apt"""":""""""""},""""formatted"""":""""Plantagegatan 17, 413 05 Göteborg, Sverige"""",""""country"""":""""SE"""",""""postalCode"""":""""413 05""""}"",https://www.facebook.com/ARMANs-154786997913625/,Linné,Ja"
"Bellora,Göteborg,12:00 - Solnedgång,""[""""Restaurang""""]"",""{""""city"""":""""Lorensberg"""",""""location"""":{""""latitude"""":57.70169799999999,""""longitude"""":11.9739829},""""streetAddress"""":{""""number"""":""""6"""",""""name"""":""""Kungsportsavenyen"""",""""apt"""":""""""""},""""formatted"""":""""Kungsportsavenyen 6, 411 38 Göteborg, Sverige"""",""""country"""":""""SE"""",""""postalCode"""":""""411 38""""}"",https://www.hotelbellora.se/?gclid=Cj0KCQjwzLCVBhD3ARIsAPKYTcSmWP8wEWbDRU0HqAoAzZCHxA6HrokzmGiFIqbkixBYWJauVx-qIoAaArQcEALw_wcB,Avenyn,Ja"
"Ostindiska Ölkompaniet,Göteborg,12:00 - 18:30,""[""""Bar""""]"",""{""""city"""":""""Lunden"""",""""location"""":{""""latitude"""":57.71482870000001,""""longitude"""":12.004437},""""streetAddress"""":{""""number"""":""""110"""",""""name"""":""""Danska vägen"""",""""apt"""":""""""""},""""formatted"""":""""Danska vägen 110, 416 59 Göteborg, Sverige"""",""""country"""":""""SE"""",""""postalCode"""":""""416 59""""}"",https://www.olkompaniet.com/en/danskavagen/,Östra Centrum,Ja"
